,week,day,date,time,h,a,attendance,venue,referee,notes,game_id,h_ftgoals,a_ftgoals,season,season-key,match-key,home_xg,away_xg,round,fthg,ftag,iwh,iwd,iwa,whh,whd,wha,bwh,bwd,bwa,psch,pscd,psca,maxch,maxcd,maxca,maxh,maxd,maxa,avgh,avgd,avga
6625,9.0,Sat,2018-10-20,20:30,Udinese,Napoli,21449.0,Dacia Arena,Maurizio Mariani,nan,742e1bd2,0.0,3.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_373,2.0,1.8,,0.0,3.0,5.8,4.0,1.6,6.0,3.9,1.57,6.0,4.0,1.57,7.2,3.95,1.56,,,,,,,,,
6626,9.0,Sun,2018-10-21,15:00,Bologna,Torino,23245.0,Stadio Renato Dall'Ara,Luca Banti,nan,46ef4b1a,2.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_36,1.5,0.9,,2.0,2.0,3.45,3.2,2.25,3.4,3.2,2.25,3.2,3.3,2.3,3.29,3.1,2.51,,,,,,,,,
6627,9.0,Sun,2018-10-21,18:00,Fiorentina,Cagliari,31567.0,Stadio Artemio Franchi,Piero Giacomelli,nan,93821741,1.0,1.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_97,1.6,1.0,,1.0,1.0,1.55,4.15,6.1,1.55,4.2,6.0,1.55,4.2,6.0,1.65,3.81,6.3,,,,,,,,,
6628,9.0,Sun,2018-10-21,20:30,Inter,Milan,78275.0,Stadio Giuseppe Meazza,Marco Guida,nan,853013c4,1.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_162,1.6,0.7,,1.0,0.0,2.35,3.35,3.05,2.45,3.25,3.0,2.4,3.25,3.1,2.52,3.23,3.13,,,,,,,,,
6629,9.0,Sun,2018-10-21,12:30,Frosinone,Empoli,12287.0,Stadio Benito Stirpe,Daniele Orsato,nan,90256e72,3.0,3.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_118,1.1,1.6,,3.0,3.0,2.9,3.25,2.5,2.9,3.2,2.5,3.0,3.2,2.5,3.22,3.38,2.39,,,,,,,,,
6630,9.0,Sun,2018-10-21,15:00,Chievo,Atalanta,12000.0,Stadio Marc'Antonio Bentegodi,Gianluca Rocchi,nan,46c6a36f,1.0,5.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_57,0.9,2.1,,1.0,5.0,5.0,3.75,1.7,5.8,4.0,1.6,5.5,4.0,1.62,5.95,4.16,1.61,,,,,,,,,
6631,9.0,Sun,2018-10-21,15:00,Parma,Lazio,18969.0,Stadio Ennio Tardini,Michael Fabbri,nan,8fb4107b,0.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_257,0.2,2.8,,0.0,2.0,4.4,3.7,1.8,5.25,4.0,1.63,5.25,4.0,1.65,6.17,4.22,1.58,,,,,,,,,
6632,9.0,Mon,2018-10-22,20:30,Sampdoria,Sassuolo,19064.0,Stadio Comunale Luigi Ferraris,Francesco Fourneau,nan,4c35760e,0.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_320,1.3,0.6,,0.0,0.0,2.1,3.55,3.35,2.15,3.5,3.3,2.15,3.4,3.4,2.27,3.42,3.42,,,,,,,,,
6633,10.0,Sat,2018-10-27,15:00,Atalanta,Parma,18152.0,Stadio Atleti Azzurri d'Italia,Rosario Abisso,nan,1048f3fb,3.0,0.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_12,3.3,0.9,,3.0,0.0,1.45,4.5,7.0,1.35,5.25,8.5,1.36,5.25,7.75,1.33,5.73,9.36,,,,,,,,,
6634,10.0,Sat,2018-10-27,18:00,Empoli,Juventus,15889.0,Stadio Carlo Castellani,Giampaolo Calvarese,nan,8fe69070,1.0,2.0,2018-2019,italy_serie-a_2018-2019,italy_serie-a_2018-2019_84,0.3,1.7,,1.0,2.0,11.0,6.1,1.25,10.0,5.8,1.29,11.0,6.0,1.26,11.67,5.57,1.3,,,,,,,,,
